Name,Address,Latitude,Longitude,Category,Wardname,Ownership,LGAname,Wardcode,Func_Stats,Source,Alt_Name
Mayo Vem Health Post,"Teungo, Adamawa, Nigeria",8.06737,11.6808,Dispensary,Dawo 2,Others,Toungo,ADSTNG02,Unknown,OSGOF,
Timbo Health Post,"Jauro Yaji, Teungo, Adamawa, Nigeria",8.19469,12.00268,Dispensary,Kiri 2,Others,Toungo,ADSTNG05,Unknown,OSGOF,
Kurungu Health Post,"Numan, Guyuk, Adamawa, Nigeria",9.644779,11.99085,Dispensary,Gundo,Others,Shelleng,ADSSHG03,Unknown,eHA Polio,
Maraba Bokki Health Post,"Wuro Yaji, Gombi, Adamawa, Nigeria",10.09454,12.65473,Dispensary,Tawa,Others,Gombi,ADSGMB09,Functional,eHA Polio,
Gembula Health Post,"Gwambula, Mubi North, Adamawa, Nigeria",10.44285,13.33336,Dispensary,Mijilu,Others,Mubi North,ADSMUB07,Unknown,eHA Polio,
Mbela Lagaje Dispensary,"Mayo-Belwa, Adamawa, Nigeria",9.01779,12.01019,Dispensary,Yoffo,Others,Mayo-Belwa,ADSMWA12,Unknown,OSGOF,
Bellanga Health Clinic,"Demsa, Adamawa, Nigeria",9.631286621,12.21368408,Primary Health Center,Gwamba,State Ministry of Health,Demsa,ADSDSA07,Unknown,eHA Polio,
Barkari Health Post,"10.04994	13.0591, Hong, Adamawa, Nigeria",10.04994,13.0591,Dispensary,Hoserezum,Others,Hong,ADSHNG07,Unknown,OSGOF,
Mayo Baji Health Post,"Teungo, Adamawa, Nigeria",8.00076,11.83204,Dispensary,Dawo 2,Others,Toungo,ADSTNG02,Unknown,OSGOF,
Kamenya Health Post,"Wuro Dogo, Ganye, Adamawa, Nigeria",8.61326482,12.00964317,Dispensary,Danaba,Others,Jada,ADSJAD01,Unknown,eHA Polio,
Gulungo Health Post,"Song, Adamawa, Nigeria",9.844661713,12.6109314,Dispensary,Song Gari,Others,Song,ADSSNG07,Unknown,eHA Polio,
Tanka Health Post,"Bwara, Song, Adamawa, Nigeria",9.82313,12.37808,Dispensary,Dumne,Others,Song,ADSSNG02,Unknown,eHA Polio,
Gabun Health Post,"Gombi, Adamawa, Nigeria",10.18633833,12.37223167,Dispensary,Gabon,Others,Gombi,ADSGMB04,Functional,eHA Polio,
Jabi Health Post,"Shelleng, Adamawa, Nigeria",9.697454,12.1366,Dispensary,Libbo,Others,Shelleng,ADSSHG08,Functional,eHA Polio,
Boloko Health Post,"Boloko Health Post, Fufore, Adamawa, Nigeria",9.566506386,12.74523449,Dispensary,Wuro Bokki,Others,Fufore,ADSFUR10,Unknown,eHA Polio,
Kodore Health Post,"Ganye, Adamawa, Nigeria",8.241888,11.96255,Dispensary,Kiri 2,Others,Toungo,ADSTNG05,Unknown,eHA Polio,
Nukkere Health Post,"Teungo, Adamawa, Nigeria",8.202212,11.96463,Dispensary,Kiri 2,Others,Toungo,ADSTNG05,Unknown,eHA Polio,
Dejim Health Post,"Teungo, Adamawa, Nigeria",8.202225,11.94486,Dispensary,Kiri 2,Others,Toungo,ADSTNG05,Unknown,eHA Polio,
Drang Health Post,"Za-Girta, Michika, Adamawa, Nigeria",10.46581359,13.51063726,Dispensary,Zah,Others,Michika,ADSMCH16,Unknown,eHA Polio,
Kissa Dispensary,"Boudjouma, Mubi South, Adamawa, Nigeria",10.10685,13.30498,Dispensary,Kwaja,Others,Mubi South,ADSGYL05,Unknown,eHA Polio,
Bosso Health Post,"Demsa, Adamawa, Nigeria",9.558497,12.14642,Dispensary,Dilli,Others,Demsa,ADSDSA04,Unknown,eHA Polio,
Ubandoma Health Post,"Numan, Adamawa, Nigeria",9.602399,12.0145,Dispensary,Bare,Others,Numan,ADSNUM01,Functional,eHA Polio,
Gombi Dispensary,"Gombi - Baromari Road, Guyaku, Gombi, Adamawa, Nigeria",10.165,12.73686,Dispensary,Gombi North,Others,Gombi,ADSGMB06,Unknown,OSGOF,
Lcln Clinic,"Demsa, Adamawa, Nigeria",9.43053,12.1424,Primary Health Center,Demsa,Private,Demsa,ADSDSA03,Unknown,eHA Polio,
Mararaba Clinic,"Malabu, Maiha, Adamawa, Nigeria",9.62714,13.1006,Primary Health Center,Konkol,Private,Maiha,ADSMAH03,Unknown,eHA Polio,
Nphc Dasin,"Dasin Hausa, Fufore, Adamawa, Nigeria",9.26958,12.64841,Primary Health Center,Ribadu,Others,Fufore,ADSFUR08,Unknown,eHA Polio,
Abasu Clinic,"Michika, Adamawa, Nigeria",10.62469483,13.3848877,Primary Health Center,Michika 2,Private,Michika,ADSMCH07,Functional,eHA Polio,
Gaya Faa Primary Health Center,"Jabbagaya, Hong, Adamawa, Nigeria",10.465271,12.98547363,Primary Health Center,Gaya-Sikalmi,State Ministry of Health,Hong,ADSHNG04,Functional,eHA Polio,Health Post Gaya Faa
Chikila Health Post,"Guyuk, Adamawa, Nigeria",9.78767,11.87296,Dispensary,Chikila,Others,Guyuk,ADSGUY04,Functional,OSGOF,
Jatau Dispensary,"Girei, Adamawa, Nigeria",9.47028,12.39175,Dispensary,Gereng,Others,Girei,ADSGRE03,Unknown,OSGOF,
Abubakar Adamu Namtari Health Center,"Jimeta, Girei, Adamawa, 640221, Nigeria",9.280343333,12.45322833,Primary Health Center,Yelwa,Others,Yola North,ADSYLN11,Unknown,eHA Polio,
Fadama Eyn Health Clinic,"A13, Dilpurtu, Hong, Adamawa, Nigeria",10.23085,12.96966,Primary Health Center,Hong,Missions Religious,Hong,ADSHNG06,Functional,eHA Polio,
Maher Shalal Hash Baz,"Kafa, Michika, Adamawa, Nigeria",10.61108399,13.3873291,Primary Health Center,Michika 2,Private,Michika,ADSMCH07,Unknown,eHA Polio,
Daama Specialist Hospital,"Jalingo, Yola South, Adamawa, 640221, Nigeria",9.271118164,12.45349121,Specialist Hospital,Alkalawa,Private,Yola North,ADSYLN02,Functional,eHA Polio,
Dason Folani Clinic,"Numan, Guyuk, Adamawa, Nigeria",9.63411,12.05163,Primary Health Center,Gundo,Private,Shelleng,ADSSHG03,Unknown,eHA Polio,
Ecwa Academic Health Post,"Demsa, Adamawa, Nigeria",9.426696777,12.12347412,Dispensary,Demsa,Missions Religious,Demsa,ADSDSA03,Unknown,eHA Polio,
Eyn Mijili Health Clinic,"Mijili, Hong, Adamawa, Nigeria",10.34374,12.9795,Primary Health Center,Gaya-Sikalmi,Missions Religious,Hong,ADSHNG04,Unknown,eHA Polio,
Gurum Nongvan Christian Dispensary,"Ganye, Adamawa, Nigeria",8.47051,11.96737,Dispensary,Timdore,Missions Religious,Ganye,ADSGAN09,Functional,eHA Polio,Gurum Nonvan Health Post
Kowa Clinic,"Maya Belwa, Mayo-Belwa, Adamawa, Nigeria",9.057678223,12.06030273,Primary Health Center,Mbilla,Private,Mayo-Belwa,ADSMWA08,Unknown,eHA Polio,
Lccn Clinic,"Guyuk, Adamawa, Nigeria",9.90598,11.92502,Primary Health Center,Guyuk,Private,Guyuk,ADSGUY07,Functional,eHA Polio,
Lccn Pella Maternity Clinic,"Hong, Adamawa, Nigeria",10.14934555,12.93257615,Maternity Home,Thilbang,Missions Religious,Hong,ADSHNG11,Unknown,eHA Polio,
